date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:31:16	209469/209469	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Oct%202024%2016:36:48%20GMT	https://live.themewild.com/medion/index.html	D:/websites-httrack/paraPharmacie_01/live.themewild.com/medion/index.html	(from )
20:31:18	720/720	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2003%20Jan%202025%2019:31:16%20GMT	https://live.themewild.com/robots.txt		(from )
20:31:20	7266/7266	---M--	200	added ('OK')	image/png	date:Wed,%2002%20Oct%202024%2015:43:10%20GMT	https://live.themewild.com/medion/assets/img/logo/favicon.png	D:/websites-httrack/paraPharmacie_01/live.themewild.com/medion/assets/img/logo/favicon.png	(from https://live.themewild.com/medion/index.html)
20:31:21	232762/232762	---MCZ	200	added ('OK')	text/css	date:Thu,%2015%20Aug%202024%2017:04:38%20GMT	https://live.themewild.com/medion/assets/css/bootstrap.min.css	D:/websites-httrack/paraPharmacie_01/live.themewild.com/medion/assets/css/bootstrap.min.css	(from https://live.themewild.com/medion/index.html)
20:31:22	523293/523293	---MCZ	200	added ('OK')	text/css	date:Sat,%2018%20May%202024%2020:01:58%20GMT	https://live.themewild.com/medion/assets/css/all-fontawesome.min.css	D:/websites-httrack/paraPharmacie_01/live.themewild.com/medion/assets/css/all-fontawesome.min.css	(from https://live.themewild.com/medion/index.html)
20:31:22	45552/45552	---MCZ	200	added ('OK')	text/css	date:Mon,%2023%20Jan%202023%2023:41:36%20GMT	https://live.themewild.com/medion/assets/css/animate.min.css	D:/websites-httrack/paraPharmacie_01/live.themewild.com/medion/assets/css/animate.min.css	(from https://live.themewild.com/medion/index.html)
20:31:23	5259/5259	---MCZ	200	added ('OK')	text/css	date:Wed,%2010%20Nov%202021%2014:29:30%20GMT	https://live.themewild.com/medion/assets/css/magnific-popup.min.css	D:/websites-httrack/paraPharmacie_01/live.themewild.com/medion/assets/css/magnific-popup.min.css	(from https://live.themewild.com/medion/index.html)
20:31:23	3357/3357	---MCZ	200	added ('OK')	text/css	date:Wed,%2010%20Nov%202021%2014:20:02%20GMT	https://live.themewild.com/medion/assets/css/owl.carousel.min.css	D:/websites-httrack/paraPharmacie_01/live.themewild.com/medion/assets/css/owl.carousel.min.css	(from https://live.themewild.com/medion/index.html)
20:31:24	32082/32082	---MCZ	200	added ('OK')	text/css	date:Sun,%2031%20Oct%202021%2023:54:30%20GMT	https://live.themewild.com/medion/assets/css/jquery-ui.min.css	D:/websites-httrack/paraPharmacie_01/live.themewild.com/medion/assets/css/jquery-ui.min.css	(from https://live.themewild.com/medion/index.html)
20:31:24	3070/3070	---MCZ	200	added ('OK')	text/css	date:Wed,%2025%20Jan%202023%2023:50:20%20GMT	https://live.themewild.com/medion/assets/css/nice-select.min.css	D:/websites-httrack/paraPharmacie_01/live.themewild.com/medion/assets/css/nice-select.min.css	(from https://live.themewild.com/medion/index.html)
20:31:24	159259/159259	---MCZ	200	added ('OK')	text/css	date:Wed,%2002%20Oct%202024%2018:02:36%20GMT	https://live.themewild.com/medion/assets/css/style.css	D:/websites-httrack/paraPharmacie_01/live.themewild.com/medion/assets/css/style.css	(from https://live.themewild.com/medion/index.html)
